train_loss,train_accu,val_loss,val_accu,filter1_size,kernel1_size,build_minutes
1.0878,0.6101,1.0513,0.6164,512.0,7,1.0867364684740701
1.0349,0.6254,0.9917,0.6304,256.0,7,0.7850266297658285
1.1566,0.5726,1.1152,0.6028,128.0,7,0.5245904326438904
1.0901,0.5986,1.091,0.5945,64.0,7,0.36659541527430217
0.8884,0.6853,0.8484,0.7151,512.0,5,1.0881813168525696
0.9727,0.6489,0.8982,0.6957,256.0,5,0.7613619287808736
0.9856,0.6459,0.9788,0.6475,128.0,5,0.4552672982215881
0.9464,0.6582,0.8821,0.6815,64.0,5,0.31359927654266356
0.5416,0.8218,0.5806,0.8068,512.0,3,0.8288244326909383
0.5583,0.8142,0.5468,0.8347,256.0,3,0.4960385362307231
0.5364,0.8305,0.5413,0.8334,128.0,3,0.3287679711977641
0.5904,0.8095,0.5936,0.8195,64.0,3,0.23186605374018351
0.1582,0.9662,0.1822,0.9578,512.0,1,0.5684686342875163
0.1595,0.9712,0.189,0.9626,256.0,1,0.3627973198890686
0.23,0.9508,0.2843,0.9334,128.0,1,0.23302025397618611
0.3917,0.9005,0.4112,0.8877,64.0,1,0.2142322580019633
